Series,Part Number,Name,USD Catalogue,USD Price,CAD Catalogue,CAD Price,Categories,Arm Type,Base Type,Back Material,Back Height,Tilter Prop,Images
Factor,5546NA,"Medium Back Stool, Armless",GUS,831,GLS,810,Stools,Armless,,    ,Medium Back,    ,TRUE
Factor,5545AM,Mesh Back Armchair,GUS,782,GLS,592,Side Chair,With Arms,,Mesh Back,    ,    ,TRUE
Factor,5545AMC,"Mesh Back Armchair, Casters",GUS,635,GLS,672,Side Chair,With Arms,,Mesh Back,    ,    ,TRUE
Factor,5545NM,Armless Mesh Back Chair ,GUS,729,GLS,546,Side Chair,Armless,,Mesh Back,    ,    ,TRUE
Factor,5545NMC,"Armless Mesh Back Chair, Casters",GUS,589,GLS,626,Side Chair,Armless,,Mesh Back,    ,    ,TRUE
Sora,6941,High Back Weight Sensing Synchro-Tilter,GUS,684,GLS,1140,Task Seating,With Arms,,    ,High Back,Synchro-Tilter,TRUE
Sora,6942,Medium Back Weight Sensing Synchro-Tilter ,GUS,1373,GLS,1113,Task Seating,With Arms,,    ,Medium Back,Synchro-Tilter,TRUE
G1 Ergo Select,7331,Medium Back,GUS,1319,GLS,1099,Task Seating,With Arms,,    ,Medium Back,    ,TRUE
G1 Ergo Select,7332,High Back,GUS,1296,GLS,1124,Task Seating,With Arms,,    ,High Back,    ,TRUE
G1 Ergo Select,7333,Extended High Back,GUS,1368,GLS,1149,Task Seating,With Arms,,    ,Extended High Back,    ,TRUE
G1 Ergo Select,7336,Medium Back Stool,GUS,1437,GLS,1273,Stools,With Arms,,    ,Medium Back,    ,TRUE
G1 Ergo Select,7336NA,Armless Medium Back Stool,GUS,1401,GLS,1211,Stools,Armless,,    ,Medium Back,    ,TRUE
G1 Ergo Select,TS7331,Medium Back Heavy Duty,GUS,1296,GLS,1252,Task Seating,With Arms,,    ,Medium Back,    ,TRUE
G1 Ergo Select,TS7332,High Back Heavy Duty ,GUS,1437,GLS,1278,Task Seating,With Arms,,    ,High Back,    ,TRUE
G1 Ergo Select,TS7333,Extended High Back Heavy Duty,GUS,1507,GLS,1302,Task Seating,With Arms,,    ,Extended High Back,    ,TRUE
Novello,6400,"Task, Upholstered Seat & Polypropylene Back",GUS,1576,GLS,956,Task Seating,With Arms,,Upholstered Back,    ,    ,TRUE
Novello,6401,"Armless Task, Upholstered Seat & Polypropylene Back ",GUS,1004,GLS,870,Task Seating,Armless,,Upholstered Back,    ,    ,TRUE
Novello,6402,"Task, Upholstered Seat & Back",GUS,909,GLS,1010,Task Seating,With Arms,,Upholstered Back,    ,    ,TRUE
Novello,6403,"Armless Task, Upholstered Seat & Back",GUS,1085,GLS,927,Task Seating,Armless,,Upholstered Back,    ,    ,TRUE
Novello,6410,"Height Adjustable Stool, Upholstered Seat & Polypropylene Back",GUS,998,GLS,1127,Stools,With Arms,,Upholstered Back,    ,    ,TRUE
Novello,6411,"Armless Height Adjustable Stool, Upholstered Seat & Polypropylene Back",GUS,1153,GLS,1042,Stools,Armless,,Upholstered Back,    ,    ,TRUE
Novello,6412,"Height Adjustable Stool, Upholstered Seat & Back",GUS,1056,GLS,1183,Stools,With Arms,,Upholstered Back,    ,    ,TRUE
Novello,6413,"Armless Height Adjustable Stool, Upholstered Seat & Back",GUS,1234,GLS,1099,Stools,Armless,,Upholstered Back,    ,    ,TRUE
Novello,6400PB,"Task Chair, Upholstered Seat & Polypropylene Back, Pedestal Base ",GUS,1138,GLS,1177,Pedestal,With Arms,Pedestal Base,Upholstered Back,    ,    ,TRUE
Novello,6401PB,"Armless Task Chair, Upholstered Seat & Polypropylene Back, Pedestal Base",GUS,1236,GLS,1094,Pedestal,Armless,Pedestal Base,Upholstered Back,    ,    ,TRUE
Novello,6402PB,"Task Chair, Upholstered Seat & Back, Pedestal Base",GUS,1139,GLS,1234,Pedestal,With Arms,Pedestal Base,Upholstered Back,    ,    ,TRUE
Novello,6403PB,"Armless Task Chair, Upholstered Seat & Back, Pedestal Base",GUS,1317,GLS,1149,Pedestal,Armless,Pedestal Base,Upholstered Back,    ,    ,TRUE
Drift,8026,Ottoman ,GUS,1230,GLS,803,Bench,Armless,    ,    ,No Back,    ,TRUE
Drift,8026S,"Ottoman, Sealed Seams",GUS,911,GLS,905,Bench,Armless,    ,    ,No Back,    ,TRUE
Drift,8023,"Side Chair, Sled Base",GUS,1101,GLS,1389,Side Chair,With Arms,Sled Base,    ,    ,    ,TRUE
Drift,8023F,"Side Chair, Sled Base, Flip Forward Seat",GUS,1819,GLS,1489,Side Chair,With Arms,Sled Base,    ,    ,    ,TRUE
Drift,8023P,"Side Chair, Sled Base, Arm Patches",GUS,2070,GLS,1409,Side Chair,With Arms,Sled Base,    ,    ,    ,TRUE
Drift,8023PF,"Side Chair, Sled Base, Arm Patches, Flip Forward Seat",GUS,1844,GLS,1509,Side Chair,With Arms,Sled Base,    ,    ,    ,TRUE
Drift,8024,"Low Back Lounge, Sled Base",GUS,2095,GLS,1829,Side Chair,With Arms,Sled Base,    ,Low Back,    ,TRUE
Drift,8024F,"Low Back Lounge, Sled Base, Flip Forward Seat",GUS,2191,GLS,1954,Side Chair,With Arms,Sled Base,    ,Low Back,    ,TRUE
Drift,8024P,"Low Back Lounge, Sled Base, Arm Patches",GUS,2442,GLS,1849,Side Chair,With Arms,Sled Base,    ,Low Back,    ,TRUE
Drift,8024PF,"Low Back Lounge, Sled Base, Arm Patches, Flip Forward Seat",GUS,2216,GLS,1974,Side Chair,With Arms,Sled Base,    ,Low Back,    ,TRUE
Drift,8016,"Mid Back Lounge, Sled Base",GUS,2467,GLS,1923,Side Chair,With Arms,Sled Base,    ,    ,    ,TRUE
Drift,8016F,"Mid Back Lounge, Sled Base, Flip Forward Seat",GUS,2437,GLS,2073,Side Chair,With Arms,Sled Base,    ,    ,    ,TRUE
Drift,8016P,"Mid Back Lounge, Sled Base, Arm Patches",GUS,2688,GLS,1943,Side Chair,With Arms,Sled Base,    ,    ,    ,TRUE
Drift,8016PF,"Mid Back Lounge, Sled Base, Arm Patches, Flip Forward Seat",GUS,2462,GLS,2093,Side Chair,With Arms,Sled Base,    ,    ,    ,TRUE
Drift,8028,"High Back Lounge, Sled Base",GUS,2713,GLS,2150,Side Chair,With Arms,Sled Base,    ,High Back,    ,TRUE
Drift,8028F,"High Back Lounge, Sled Base, Flip Forward Seat",GUS,2778,GLS,2325,Side Chair,With Arms,Sled Base,    ,High Back,    ,TRUE
Drift,8028P,"High Back Lounge, Sled Base, Arm Patches ",GUS,3029,GLS,2170,Side Chair,With Arms,Sled Base,    ,High Back,    ,TRUE
Drift,8028PF,"High Back Lounge, Sled Base, Arm Patches, Flip Forward Seat",GUS,2829,GLS,2345,Side Chair,With Arms,Sled Base,    ,High Back,    ,TRUE
Drift,8028PH,"High Back Lounge, Sled Base, Head & Arm Patches",GUS,3080,GLS,2200,Side Chair,With Arms,Sled Base,    ,High Back,    ,TRUE
Drift,8028PHF,"High Back Lounge, Sled Base, Head & Arm Patches, Flip Forward Seat",GUS,2879,GLS,2375,Side Chair,With Arms,Sled Base,    ,High Back,    ,TRUE
Drift,8030,"Side Chair, Four Leg Wood Base",GUS,3130,GLS,1469,Side Chair,With Arms,Wood Base,    ,    ,    ,TRUE
Drift,8030F,"Side Chair, Four Leg Wood Base, Flip Forward Seat",GUS,1622,GLS,1569,Side Chair,With Arms,Wood Base,    ,    ,    ,TRUE
Drift,8030P,"Side Chair, Four Leg Wood Base, Arm Patches",GUS,1867,GLS,1489,Side Chair,With Arms,Wood Base,    ,    ,    ,TRUE
Drift,8030PF,"Side Chair, Four Leg Wood Base, Arm Patches, Flip Forward Seat",GUS,1647,GLS,1589,Side Chair,With Arms,Wood Base,    ,    ,    ,TRUE
Drift,8025,"Low Back Lounge, Four Leg Wood Base",GUS,1892,GLS,2329,Side Chair,With Arms,Wood Base,    ,Low Back,    ,TRUE
Drift,8025F,"Low Back Lounge, Four Leg Wood Base, Flip Forward Seat",GUS,2884,GLS,2454,Side Chair,With Arms,Wood Base,    ,Low Back,    ,TRUE
Drift,8025P,"Low Back Lounge, Four Leg Wood Base, Arm Patches",GUS,3135,GLS,2349,Side Chair,With Arms,Wood Base,    ,Low Back,    ,TRUE
Drift,8025PF,"Low Back Lounge, Four Leg Wood Base, Arm Patches, Flip Forward Seat",GUS,2909,GLS,2474,Side Chair,With Arms,Wood Base,    ,Low Back,    ,TRUE
Drift,8027,"Mid Back Lounge, Four Leg Wood Base",GUS,3160,GLS,2423,Side Chair,With Arms,Wood Base,    ,    ,    ,TRUE
Drift,8027F,"Mid Back Lounge, Four Leg Wood Base, Flip Forward Seat",GUS,3120,GLS,2573,Side Chair,With Arms,Wood Base,    ,    ,    ,TRUE
Drift,8027P,"Mid Back Lounge, Four Leg Wood Base, Arm Patches",GUS,3371,GLS,2443,Side Chair,With Arms,Wood Base,    ,    ,    ,TRUE
Drift,8027PF,"Mid Back Lounge, Four Leg Wood Base, Arm Patches, Flip Forward Seat",GUS,3145,GLS,2593,Side Chair,With Arms,Wood Base,    ,    ,    ,TRUE
Drift,8029,"High Back Lounge, Four Leg Wood Base",GUS,3396,GLS,2650,Side Chair,With Arms,Wood Base,    ,High Back,    ,TRUE
Drift,8029F,"High Back Lounge, Four Leg Wood Base, Flip Forward Seat",GUS,3477,GLS,2825,Side Chair,With Arms,Wood Base,    ,High Back,    ,TRUE
Drift,8029P,"High Back Lounge, Four Leg Wood Base, Arm Patches",GUS,3728,GLS,2670,Side Chair,With Arms,Wood Base,    ,High Back,    ,TRUE
Drift,8029PF,"High Back Lounge, Four Leg Wood Base, Arm Patches, Flip Forward Seat",GUS,3527,GLS,2845,Side Chair,With Arms,Wood Base,    ,High Back,    ,TRUE
Drift,8029PH,"High Back Lounge, Four Leg Wood Base, Head & Arm Patches",GUS,3778,GLS,2700,Side Chair,With Arms,Wood Base,    ,High Back,    ,TRUE
Drift,8029PHF,"High Back Lounge, Four Leg Wood Base, Head & Arm Patches, Flip Forward Seat",GUS,3577,GLS,2875,Side Chair,With Arms,Wood Base,    ,High Back,    ,TRUE
Drift,8031,"Side Chair, Wood Swivel Base",GUS,3828,GLS,1706,Side Chair,With Arms,Swivel Base,    ,    ,    ,TRUE
Drift,8031F,"Side Chair, Wood Swivel Base, Flip Forward Seat",GUS,1883,GLS,1806,Side Chair,With Arms,Swivel Base,    ,    ,    ,TRUE
Drift,8031P,"Side Chair, Wood Swivel Base, Arm Patches",GUS,2128,GLS,1726,Side Chair,With Arms,Swivel Base,    ,    ,    ,TRUE
Drift,8031PF,"Side Chair, Wood Swivel Base, Arm Patches, Flip Forward Seat",GUS,1908,GLS,1826,Side Chair,With Arms,Swivel Base,    ,    ,    ,TRUE
Drift,8033,"Low Back Lounge, Wood Swivel Base",GUS,2153,GLS,2329,Side Chair,With Arms,Swivel Base,    ,Low Back,    ,TRUE
Drift,8033F,"Low Back Lounge, Wood Swivel Base, Flip Forward Seat",GUS,2640,GLS,2454,Side Chair,With Arms,Swivel Base,    ,Low Back,    ,TRUE
Drift,8033P,"Low Back Lounge, Wood Swivel Base, Arm Patches",GUS,2891,GLS,2349,Side Chair,With Arms,Swivel Base,    ,Low Back,    ,TRUE
Drift,8033PF,"Low Back Lounge, Wood Swivel Base, Arm Patches, Flip Forward Seat",GUS,2665,GLS,2474,Side Chair,With Arms,Swivel Base,    ,Low Back,    ,TRUE
Drift,8035,"Mid Back Lounge, Wood Swivel Base",GUS,2917,GLS,2423,Side Chair,With Arms,Swivel Base,    ,    ,    ,TRUE
Drift,8035F,"Mid Back Lounge, Wood Swivel Base, Flip Forward Seat",GUS,2745,GLS,2573,Side Chair,With Arms,Swivel Base,    ,    ,    ,TRUE
Drift,8035P,"Mid Back Lounge, Wood Swivel Base, Arm Patches",GUS,2996,GLS,2443,Side Chair,With Arms,Swivel Base,    ,    ,    ,TRUE
Drift,8035PF,"Mid Back Lounge, Wood Swivel Base, Arm Patches, Flip Forward Seat",GUS,2770,GLS,2593,Side Chair,With Arms,Swivel Base,    ,    ,    ,TRUE
Drift,8037,"High Back Lounge, Wood Swivel Base",GUS,3021,GLS,2650,Side Chair,With Arms,Swivel Base,    ,High Back,    ,TRUE
Drift,8037F,"High Back Lounge, Wood Swivel Base, Flip Forward Seat",GUS,3000,GLS,2825,Side Chair,With Arms,Swivel Base,    ,High Back,    ,TRUE
Drift,8037P,"High Back Lounge, Wood Swivel Base, Arm Patches",GUS,3251,GLS,2670,Side Chair,With Arms,Swivel Base,    ,High Back,    ,TRUE
Drift,8037PF,"High Back Lounge, Wood Swivel Base, Arm Patches, Flip Forward Seat",GUS,3050,GLS,2845,Side Chair,With Arms,Swivel Base,    ,High Back,    ,TRUE
Drift,8037PH,"High Back Lounge, Wood Swivel Base, Head & Arm Patches",GUS,3301,GLS,2700,Side Chair,With Arms,Swivel Base,    ,High Back,    ,TRUE
Drift,8037PHF,"High Back Lounge, Wood Swivel Base, Head & Arm Patches, Flip Forward Seat",GUS,3100,GLS,2875,Side Chair,With Arms,Swivel Base,    ,High Back,    ,TRUE
Drift,8032,"Side Chair, Chrome Swivel Base ",GUS,3352,GLS,1748,Side Chair,With Arms,Swivel Base,    ,    ,    ,TRUE
Drift,8032F,"Side Chair, Chrome Swivel Base, Flip Forward Seat",GUS,1927,GLS,1848,Side Chair,With Arms,Swivel Base,    ,    ,    ,TRUE
Drift,8032P,"Side Chair, Chrome Swivel Base, Arm Patches",GUS,2172,GLS,1768,Side Chair,With Arms,Swivel Base,    ,    ,    ,TRUE
Drift,8032PF,"Side Chair, Chrome Swivel Base, Arm Patches, Flip Forward Seat",GUS,1952,GLS,1868,Side Chair,With Arms,Swivel Base,    ,    ,    ,TRUE
Drift,8034,"Low Back Lounge, Chrome Swivel Base",GUS,2196,GLS,2344,Side Chair,With Arms,Swivel Base,    ,Low Back,    ,TRUE
Drift,8034F,"Low Back Lounge, Chrome Swivel Base, Flip Forward Seat",GUS,2652,GLS,2469,Side Chair,With Arms,Swivel Base,    ,Low Back,    ,TRUE
Drift,8034P,"Low Back Lounge, Chrome Swivel Base, Arm Patches",GUS,2903,GLS,2364,Side Chair,With Arms,Swivel Base,    ,Low Back,    ,TRUE
Drift,8034PF,"Low Back Lounge, Chrome Swivel Base, Arm Patches, Flip Forward Seat",GUS,2677,GLS,2489,Side Chair,With Arms,Swivel Base,    ,Low Back,    ,TRUE
Drift,8036,"Mid Back Lounge, Chrome Swivel Base",GUS,2928,GLS,2439,Side Chair,With Arms,Swivel Base,    ,    ,    ,TRUE
Drift,8036F,"Mid Back Lounge, Chrome Swivel Base, Flip Forward Seat",GUS,2762,GLS,2589,Side Chair,With Arms,Swivel Base,    ,    ,    ,TRUE
Drift,8036P,"Mid Back Lounge, Chrome Swivel Base, Arm Patches",GUS,3013,GLS,2459,Side Chair,With Arms,Swivel Base,    ,    ,    ,TRUE
Drift,8036PF,"Mid Back Lounge, Chrome Swivel Base, Arm Patches, Flip Forward Seat ",GUS,2787,GLS,2609,Side Chair,With Arms,Swivel Base,    ,    ,    ,TRUE
Drift,8038,"High Back Lounge, Chrome Swivel Base",GUS,3038,GLS,2666,Side Chair,With Arms,Swivel Base,    ,High Back,    ,TRUE
Drift,8038F,"High Back Lounge, Chrome Swivel Base, Flip Forward Seat",GUS,3017,GLS,2841,Side Chair,With Arms,Swivel Base,    ,High Back,    ,TRUE
Drift,8038P,"High Back Lounge, Chrome Swivel Base, Arm Patches",GUS,3269,GLS,2686,Side Chair,With Arms,Swivel Base,    ,High Back,    ,TRUE
Drift,8038PF,"High Back Lounge, Chrome Swivel Base, Arm Patches, Flip Forward Seat",GUS,3068,GLS,2861,Side Chair,With Arms,Swivel Base,    ,High Back,    ,TRUE
Drift,8038PH,"High Back Lounge, Chrome Swivel Base, Head & Arm Patches",GUS,3319,GLS,2716,Side Chair,With Arms,Swivel Base,    ,High Back,    ,TRUE
Drift,8038PHF,"High Back Lounge, Chrome Swivel Base, Head & Arm Patches, Flip Forward Seat",GUS,3118,GLS,2891,Side Chair,With Arms,Swivel Base,    ,High Back,    ,TRUE
Drift,8022,"Side Chair, Swivel Tilt, Five Star Base",GUS,3369,GLS,1701,Side Chair,With Arms,Swivel Base,    ,    ,    ,TRUE
Drift,8022P,"Side Chair, Swivel Tilt, Five Star Base, Arm Patches",GUS,2065,GLS,1721,Side Chair,With Arms,Swivel Base,    ,    ,    ,TRUE
Drift,8021,"Side Chair, High Four Star Swivel Base",GUS,2090,GLS,1558,Side Chair,With Arms,Swivel Base,    ,    ,    ,TRUE
Drift,8021P,"Side Chair, High Four Star Swivel Base, Arm Patches",GUS,1894,GLS,1578,Side Chair,With Arms,Swivel Base,    ,    ,    ,TRUE
Drift,8051,"Counter Stool, Sled Base",GUS,1919,GLS,1135,Stools,With Arms,Sled Base,    ,    ,    ,TRUE
Drift,8052,"Counter Stool, Four Leg Wood Base",GUS,1269,GLS,1685,Stools,With Arms,Wood Base,    ,    ,    ,TRUE
Drift,8053,"Counter Stool, Chrome Swivel Base",GUS,1988,GLS,2185,Stools,With Arms,Swivel Base,    ,    ,    ,TRUE
Drift,8054,"Bar Stool, Sled Base",GUS,2419,GLS,1210,Stools,With Arms,Sled Base,    ,    ,    ,TRUE
Drift,8055,"Bar Stool, Four Leg Wood Base",GUS,1366,GLS,1760,Stools,With Arms,Wood Base,    ,    ,    ,TRUE
Drift,8056,"Bar Stool, Chrome Swivel Base",GUS,2084,GLS,2260,Stools,With Arms,Swivel Base,    ,    ,    ,TRUE
Stream,2073APP,"Tilter, Polypropylene Seat & Back",GUS,2514,GLS,778,Task Seating,With Arms,,Polypropylene Back,    ,Tilter,TRUE
Stream,2073APU,"Tilter, Upholstered Seat & Polypropylene Back ",GUS,872,GLS,909,Task Seating,With Arms,,Upholstered Back,    ,Tilter,TRUE
Stream,2073AUU,"Tilter, Upholstered Seat & Back",GUS,1056,GLS,1034,Task Seating,With Arms,,Upholstered Back,    ,Tilter,TRUE
Stream,2073NPP,"Armless Tilter, Polypropylene Seat & Back",GUS,1171,GLS,716,Task Seating,Armless,,Polypropylene Back,    ,Tilter,TRUE
Stream,2073NPU,"Armless Tilter, Upholstered Seat & Polypropylene Back",GUS,779,GLS,846,Task Seating,Armless,,Upholstered Back,    ,Tilter,TRUE
Stream,2073NUU,"Armless Tilter, Upholstered Seat & Back",GUS,963,GLS,971,Task Seating,Armless,,Upholstered Back,    ,Tilter,TRUE
Stream,2074APP,"Height Adjustable Task Stool, Polypropylene Seat & Back",GUS,1077,GLS,903,Stools,With Arms,,Polypropylene Back,    ,    ,TRUE
Stream,2074APU,"Height Adjustable Task Stool, Upholstered Seat & Polypropylene Back",GUS,984,GLS,1034,Stools,With Arms,,Upholstered Back,    ,    ,TRUE
Stream,2074AUU,"Height Adjustable Task Stool, Upholstered Seat & Back",GUS,1166,GLS,1158,Stools,With Arms,,Upholstered Back,    ,    ,TRUE
Stream,2074NPP,"Armless Height Adjustable Task Stool, Polypropylene Seat & Back",GUS,1281,GLS,841,Stools,Armless,,Polypropylene Back,    ,    ,TRUE
Stream,2074NPU,"Armless Height Adjustable Task Stool, Upholstered Seat & Polypropylene Back",GUS,870,GLS,971,Stools,Armless,,Upholstered Back,    ,    ,TRUE
Stream,2074NUU,"Armless Height Adjustable Task Stool, Upholstered Seat & Back",GUS,1052,GLS,1096,Stools,Armless,,Upholstered Back,    ,    ,TRUE
Stream,2075APP,"Armchair, Polypropylene Seat & Back",GUS,1168,GLS,436,Side Chair,With Arms,,Polypropylene Back,    ,    ,TRUE
Stream,2075APU,"Armchair, Upholstered Seat & Polypropylene Back",GUS,495,GLS,616,Side Chair,With Arms,,Upholstered Back,    ,    ,TRUE
Stream,2075AUU,"Armchair, Upholstered Seat & Back",GUS,678,GLS,741,Side Chair,With Arms,,Upholstered Back,    ,    ,TRUE
Stream,2075NPP,"Armless Chair, Polypropylene Seat & Back",GUS,792,GLS,373,Side Chair,Armless,,Polypropylene Back,    ,    ,TRUE
Stream,2075NPU,"Armless Chair, Upholstered Seat & Polypropylene Back",GUS,385,GLS,554,Side Chair,Armless,,Upholstered Back,    ,    ,TRUE
Stream,2075NUU,"Armless Chair, Upholstered Seat & Back",GUS,576,GLS,679,Side Chair,Armless,,Upholstered Back,    ,    ,TRUE
Stream,2075APPT,"Armchair with Tablet, Polypropylene Seat & Back",GUS,686,GLS,711,Side Chair,With Arms,,Polypropylene Back,    ,    ,TRUE
Stream,2075APUT,"Armchair with Tablet, Upholstered Seat & Polypropylene Back",GUS,812,GLS,841,Side Chair,With Arms,,Upholstered Back,    ,    ,TRUE
Stream,2075AUUT,"Armchair with Tablet, Upholstered Seat & Back",GUS,995,GLS,966,Side Chair,With Arms,,Upholstered Back,    ,    ,TRUE
Stream,2075NPPT,"Armless Chair with Tablet, Polypropylene Seat & Back",GUS,1110,GLS,648,Side Chair,Armless,,Polypropylene Back,    ,    ,TRUE
Stream,2075NPUT,"Armless Chair with Tablet, Upholstered Seat & Polypropylene Back",GUS,702,GLS,778,Side Chair,Armless,,Upholstered Back,    ,    ,TRUE
Stream,2075NUUT,"Armless Chair with Tablet, Upholstered Seat & Back",GUS,885,GLS,903,Side Chair,Armless,,Upholstered Back,    ,    ,TRUE
Stream,2075BRAPP,"Armchair with Backpack Rack, Polypropylene Seat & Back",GUS,999,GLS,579,Side Chair,With Arms,,Polypropylene Back,    ,    ,TRUE
Stream,2075BRAPU,"Armchair with Backpack Rack, Upholstered Seat & Polypropylene Back",GUS,645,GLS,711,Side Chair,With Arms,,Upholstered Back,    ,    ,TRUE
Stream,2075BRAUU,"Armchair with Backpack Rack, Upholstered Seat & Back",GUS,828,GLS,835,Side Chair,With Arms,,Upholstered Back,    ,    ,TRUE
Stream,2075BRNPP,"Armless Chair with Backpack Rack, Polypropylene Seat & Back",GUS,943,GLS,517,Side Chair,Armless,,Polypropylene Back,    ,    ,TRUE
Stream,2075BRNPU,"Armless Chair with Backpack Rack, Upholstered Seat & Polypropylene Back",GUS,543,GLS,648,Side Chair,Armless,,Upholstered Back,    ,    ,TRUE
Stream,2075BRNUU,"Armless Chair with Backpack Rack, Upholstered Seat & Back",GUS,726,GLS,773,Side Chair,Armless,,Upholstered Back,    ,    ,TRUE
Stream,2075BRAPPT,"Armchair with Backpack Rack and Tablet, Polypropylene Seat & Back",GUS,842,GLS,854,Side Chair,With Arms,,Polypropylene Back,    ,    ,TRUE
Stream,2075BRAPUT,"Armchair with Backpack Rack and Tablet, Upholstered Seat & Polypropylene Back",GUS,963,GLS,984,Side Chair,With Arms,,Upholstered Back,    ,    ,TRUE
Stream,2075BRAUUT,"Armchair with Backpack Rack and Tablet, Upholstered Seat & Back",GUS,1144,GLS,1109,Side Chair,With Arms,,Upholstered Back,    ,    ,TRUE
Stream,2075BRNPPT,"Armless Chair with Backpack Rack and Tablet, Polypropylene Seat & Back",GUS,1260,GLS,792,Side Chair,Armless,,Polypropylene Back,    ,    ,TRUE
Stream,2075BRNPUT,"Armless Chair with Backpack Rack and Tablet, Upholstered Seat & Polypropylene Back",GUS,853,GLS,922,Side Chair,Armless,,Upholstered Back,    ,    ,TRUE
Stream,2075BRNUUT,"Armless Chair with Backpack Rack and Tablet, Upholstered Seat & Back",GUS,1035,GLS,1047,Side Chair,Armless,,Upholstered Back,    ,    ,TRUE
Stream,2076APP,"Armchair with Sled Base, Polypropylene Seat & Back",GUS,1151,GLS,523,Side Chair,With Arms,Sled Base,Polypropylene Back,    ,    ,TRUE
Stream,2076APU,"Armchair with Sled Base, Upholstered Seat & Polypropylene Back",GUS,556,GLS,704,Side Chair,With Arms,Sled Base,Upholstered Back,    ,    ,TRUE
Stream,2076AUU,"Armchair with Sled Base, Upholstered Seat & Back",GUS,738,GLS,828,Side Chair,With Arms,Sled Base,Upholstered Back,    ,    ,TRUE
Stream,2076NPP,"Armless Chair with Sled Base, Polypropylene Seat & Back",GUS,854,GLS,461,Side Chair,Armless,Sled Base,Polypropylene Back,    ,    ,TRUE
Stream,2076NPU,"Armless Chair with Sled Base, Upholstered Seat & Polypropylene Back",GUS,445,GLS,642,Side Chair,Armless,Sled Base,Upholstered Back,    ,    ,TRUE
Stream,2076NUU,"Armless Chair with Sled Base, Upholstered Seat & Back",GUS,629,GLS,765,Side Chair,Armless,Sled Base,Upholstered Back,    ,    ,TRUE
Stream,2076APPT,"Armchair with Sled Base and Tablet, Polypropylene Seat & Back",GUS,745,GLS,797,Side Chair,With Arms,Sled Base,Polypropylene Back,    ,    ,TRUE
Stream,2076APUT,"Armchair with Sled Base and Tablet, Upholstered Seat & Polypropylene Back",GUS,872,GLS,928,Side Chair,With Arms,Sled Base,Upholstered Back,    ,    ,TRUE
Stream,2076AUUT,"Armchair with Sled Base and Tablet, Upholstered Seat & Back",GUS,1056,GLS,1053,Side Chair,With Arms,Sled Base,Upholstered Back,    ,    ,TRUE
Stream,2076NPPT,"Armless Chair with Sled Base and Tablet, Polypropylene Seat & Back",GUS,1171,GLS,735,Side Chair,Armless,Sled Base,Polypropylene Back,    ,    ,TRUE
Stream,2076NPUT,"Armless Chair with Sled Base and Tablet, Upholstered Seat & Polypropylene Back",GUS,765,GLS,866,Side Chair,Armless,Sled Base,Upholstered Back,    ,    ,TRUE
Stream,2076NUUT,"Armless Chair with Sled Base and Tablet, Upholstered Seat & Back",GUS,945,GLS,991,Side Chair,Armless,Sled Base,Upholstered Back,    ,    ,TRUE
Stream,2073APPPB,"Tilter, Polypropylene Seat & Back, Pedestal Base",GUS,1061,GLS,1042,Pedestal,With Arms,Pedestal Base,Polypropylene Back,    ,Tilter,TRUE
Stream,2073APUPB,"Tilter, Upholstered Seat & Polypropylene Back, Pedestal Base",GUS,1103,GLS,1179,Pedestal,With Arms,Pedestal Base,Upholstered Back,    ,Tilter,TRUE
Stream,2073AUUPB,"Tilter, Upholstered Seat & Back, Pedestal Base",GUS,1286,GLS,1308,Pedestal,With Arms,Pedestal Base,Upholstered Back,    ,Tilter,TRUE
Stream,2073NPPPB,"Armless Tilter, Polypropylene Seat & Back, Pedestal Base",GUS,1401,GLS,978,Pedestal,Armless,Pedestal Base,Polypropylene Back,    ,Tilter,TRUE
Stream,2073NPUPB,"Armless Tilter, Upholstered Seat & Polypropylene Back, Pedestal Base",GUS,1009,GLS,1112,Pedestal,Armless,Pedestal Base,Upholstered Back,    ,Tilter,TRUE
Stream,2073NUUPB,"Armless Tilter, Upholstered Seat & Back, Pedestal Base",GUS,1193,GLS,1244,Pedestal,Armless,Pedestal Base,Upholstered Back,    ,Tilter,TRUE
Stream,2074APPPB,"Task, Polypropylene Seat & Back, Pedestal Base",GUS,1193,GLS,1171,Pedestal,With Arms,Pedestal Base,Polypropylene Back,    ,    ,TRUE
Stream,2074APUPB,"Task, Upholstered Seat & Polypropylene Back, Pedestal Base",GUS,1214,GLS,1308,Pedestal,With Arms,Pedestal Base,Upholstered Back,    ,    ,TRUE
Stream,2074AUUPB,"Task, Upholstered Seat & Back, Pedestal Base",GUS,1397,GLS,1440,Pedestal,With Arms,Pedestal Base,Upholstered Back,    ,    ,TRUE
Stream,2074NPPPB,"Armless Task, Polypropylene Seat & Back, Pedestal Base",GUS,1511,GLS,1107,Pedestal,Armless,Pedestal Base,Polypropylene Back,    ,    ,TRUE
Stream,2074NPUPB,"Armless Task, Upholstered Seat & Polypropylene Back, Pedestal Base",GUS,1100,GLS,1244,Pedestal,Armless,Pedestal Base,Upholstered Back,    ,    ,TRUE
Stream,2074NUUPB,"Armless Task, Upholstered Seat & Back, Pedestal Base",GUS,1282,GLS,1373,Pedestal,Armless,Pedestal Base,Upholstered Back,    ,    ,TRUE
Stream,2075BSAPP,"Bar Stool with Arms, Polypropylene Seat & Back",GUS,1399,GLS,635,Stools,With Arms,,Polypropylene Back,    ,    ,TRUE
