Series,Part Number,Name,USD Catalogue,USD Price,CAD Catalogue,CAD Price,Categories,Arm Type,Base Type,Back Material,Back Height,Tilter Prop,Images
Roma,1879,Honeycomb Polypropylene Medium Back Height Adjustable Stool with Arms,GUS,1217,GLS,938,Stools,With Arms,,Polypropylene Back,Medium Back,    ,TRUE
Roma,1897,Honeycomb Polypropylene Medium Back with Arms,GUS,952,GLS,828,Task Seating,With Arms,,Polypropylene Back,Medium Back,    ,TRUE
Roma,1898,Honeycomb Polypropylene Medium Back Nesting Chair with Arms,GUS,785,GLS,684,Side Chair,With Arms,,Polypropylene Back,Medium Back,    ,TRUE
Roma,1899,Mesh Medium Back Nesting Chair with Arms,GUS,773,GLS,654,Side Chair,With Arms,,Mesh Back,Medium Back,    ,TRUE
Roma,1900,Flexible Polypropylene Medium Back Nesting Chair with Arms,GUS,773,GLS,654,Side Chair,With Arms,,Polypropylene Back,Medium Back,    ,TRUE
Roma,1901,"Mesh Medium Back, Armless",GUS,891,GLS,716,Task Seating,Armless,,Mesh Back,Medium Back,    ,TRUE
Roma,1902,"Flexible Polypropylene Medium Back, Armless",GUS,891,GLS,716,Task Seating,Armless,,Polypropylene Back,Medium Back,    ,TRUE
Roma,1903,"Upholstered Medium Back, Armless",GUS,960,GLS,799,Task Seating,Armless,,Upholstered Back,Medium Back,    ,TRUE
Roma,1906,Mesh Medium Back with Arms,GUS,952,GLS,799,Task Seating,With Arms,,Mesh Back,Medium Back,    ,TRUE
Roma,1907,Flexible Polypropylene Medium Back with Arms,GUS,952,GLS,799,Task Seating,With Arms,,Polypropylene Back,Medium Back,    ,TRUE
Roma,1908,Upholstered Medium Back with Arms,GUS,1023,GLS,855,Task Seating,With Arms,,Upholstered Back,Medium Back,    ,TRUE
Graphic,2736,"Nylon Posture Back, Armless",GUS,735,GLS,624,Task Seating,Armless,,    ,    ,    ,TRUE
Graphic,2736MB,"Mesh Posture Back, Armless",GUS,815,GLS,732,Task Seating,Armless,,Mesh Back,    ,    ,TRUE
